,value,timestamp_sensor
307,9.69,2020-05-25 20:09:41
308,9.84,2020-05-25 20:29:42
309,9.83,2020-05-25 20:49:42
310,9.46,2020-05-25 21:09:42
311,9.1,2020-05-25 21:29:42
312,9.17,2020-05-25 21:49:43
313,9.31,2020-05-25 22:09:43
314,9.06,2020-05-25 22:29:43
315,9.59,2020-05-25 22:49:43
316,9.78,2020-05-25 23:09:43
317,9.24,2020-05-25 23:29:44
318,9.34,2020-05-25 23:49:44
319,9.27,2020-05-26 00:09:44
320,9.44,2020-05-26 00:29:44
321,9.57,2020-05-26 00:49:45
322,9.62,2020-05-26 01:09:45
323,9.57,2020-05-26 01:29:45
324,9.62,2020-05-26 01:49:45
325,9.5,2020-05-26 02:09:45
326,9.3,2020-05-26 02:29:46
327,9.38,2020-05-26 02:49:46
328,9.49,2020-05-26 03:09:46
329,9.51,2020-05-26 03:29:46
330,9.52,2020-05-26 03:49:47
331,9.52,2020-05-26 04:09:47
332,9.52,2020-05-26 04:29:47
333,9.81,2020-05-26 04:49:47
334,9.84,2020-05-26 05:09:47
335,9.88,2020-05-26 05:29:48
336,9.85,2020-05-26 05:49:48
337,9.78,2020-05-26 06:09:48
338,9.74,2020-05-26 06:29:48
339,9.71,2020-05-26 06:49:49
340,9.71,2020-05-26 07:09:49
341,9.72,2020-05-26 07:29:49
342,9.74,2020-05-26 07:49:49
343,9.88,2020-05-26 08:09:50
344,10.06,2020-05-26 08:29:50
345,10.32,2020-05-26 08:49:50
346,10.44,2020-05-26 09:09:50
347,10.47,2020-05-26 09:29:51
348,10.39,2020-05-26 09:49:51
349,10.34,2020-05-26 10:09:51
350,10.4,2020-05-26 10:29:51
351,10.38,2020-05-26 10:49:52
352,10.38,2020-05-26 11:09:52
353,10.54,2020-05-26 11:29:52
354,10.63,2020-05-26 11:49:52
355,10.71,2020-05-26 12:09:53
356,10.73,2020-05-26 12:29:53
357,10.72,2020-05-26 12:49:53
358,10.78,2020-05-26 13:09:53
359,10.81,2020-05-26 13:29:53
360,10.79,2020-05-26 13:49:54
361,11.02,2020-05-26 14:09:54
362,11.36,2020-05-26 14:29:54
363,11.6,2020-05-26 14:49:55
364,11.94,2020-05-26 15:09:55
365,12.03,2020-05-26 15:29:55
366,13.0,2020-05-26 15:49:55
367,13.01,2020-05-26 16:09:55
368,13.38,2020-05-26 16:29:56
369,13.81,2020-05-26 16:49:56
370,13.95,2020-05-26 17:09:56
371,14.02,2020-05-26 17:29:56
372,14.02,2020-05-26 17:49:57
373,13.53,2020-05-26 18:09:57
374,13.79,2020-05-26 18:29:57
375,13.63,2020-05-26 18:49:57
376,13.56,2020-05-26 19:09:58
377,13.49,2020-05-26 19:29:58
378,13.41,2020-05-26 19:49:58
379,13.03,2020-05-26 20:09:58
380,13.03,2020-05-26 20:29:58
381,13.01,2020-05-26 20:49:59
382,12.99,2020-05-26 21:09:59
383,12.72,2020-05-26 21:29:59
384,12.85,2020-05-26 21:49:59
385,12.29,2020-05-26 22:10:00
386,12.37,2020-05-26 22:30:00
387,11.96,2020-05-26 22:50:00
388,11.85,2020-05-26 23:10:00
389,11.8,2020-05-26 23:30:00
390,11.82,2020-05-26 23:50:01
391,11.8,2020-05-27 00:10:01
392,11.7,2020-05-27 00:30:01
