,value,timestamp_sensor
292,162.76,2020-05-25 15:09:38
293,162.85,2020-05-25 15:29:38
294,162.73,2020-05-25 15:49:39
295,162.96,2020-05-25 16:09:39
296,163.3,2020-05-25 16:29:39
297,162.87,2020-05-25 16:49:39
298,162.58,2020-05-25 17:09:40
299,162.67,2020-05-25 17:29:40
300,162.8,2020-05-25 17:49:40
301,162.86,2020-05-25 18:09:40
302,163.16,2020-05-25 18:29:41
303,162.63,2020-05-25 18:49:41
304,161.4,2020-05-25 19:09:41
305,161.0,2020-05-25 19:29:41
306,160.77,2020-05-25 19:49:41
307,160.83,2020-05-25 20:09:41
308,161.04,2020-05-25 20:29:42
309,160.79,2020-05-25 20:49:42
310,161.25,2020-05-25 21:09:42
311,161.29,2020-05-25 21:29:42
312,161.16,2020-05-25 21:49:43
313,161.55,2020-05-25 22:09:43
314,161.67,2020-05-25 22:29:43
315,160.57,2020-05-25 22:49:43
316,160.75,2020-05-25 23:09:43
317,161.56,2020-05-25 23:29:44
318,160.79,2020-05-25 23:49:44
319,162.05,2020-05-26 00:09:44
320,161.37,2020-05-26 00:29:44
321,161.16,2020-05-26 00:49:45
322,160.71,2020-05-26 01:09:45
323,161.28,2020-05-26 01:29:45
324,160.57,2020-05-26 01:49:45
325,161.01,2020-05-26 02:09:45
326,160.86,2020-05-26 02:29:46
327,160.94,2020-05-26 02:49:46
328,160.77,2020-05-26 03:09:46
329,160.92,2020-05-26 03:29:46
330,160.95,2020-05-26 03:49:47
331,160.7,2020-05-26 04:09:47
332,160.57,2020-05-26 04:29:47
333,160.06,2020-05-26 04:49:47
334,160.22,2020-05-26 05:09:48
335,159.77,2020-05-26 05:29:48
336,160.01,2020-05-26 05:49:48
337,160.18,2020-05-26 06:09:48
338,160.03,2020-05-26 06:29:48
339,161.02,2020-05-26 06:49:49
340,160.47,2020-05-26 07:09:49
341,160.66,2020-05-26 07:29:49
342,160.8,2020-05-26 07:49:49
343,160.62,2020-05-26 08:09:50
344,159.3,2020-05-26 08:29:50
345,158.48,2020-05-26 08:49:50
346,158.46,2020-05-26 09:09:50
347,158.48,2020-05-26 09:29:51
348,159.33,2020-05-26 09:49:51
349,158.93,2020-05-26 10:09:51
350,159.31,2020-05-26 10:29:51
351,159.42,2020-05-26 10:49:52
352,159.4,2020-05-26 11:09:52
353,158.77,2020-05-26 11:29:52
354,158.98,2020-05-26 11:49:52
355,158.4,2020-05-26 12:09:53
356,158.78,2020-05-26 12:29:53
357,158.25,2020-05-26 12:49:53
358,158.62,2020-05-26 13:09:53
359,158.47,2020-05-26 13:29:54
360,158.44,2020-05-26 13:49:54
361,158.09,2020-05-26 14:09:54
362,158.03,2020-05-26 14:29:54
363,158.46,2020-05-26 14:49:55
364,158.03,2020-05-26 15:09:55
365,157.66,2020-05-26 15:29:55
366,157.13,2020-05-26 15:49:55
367,156.85,2020-05-26 16:09:55
368,156.75,2020-05-26 16:29:56
369,156.63,2020-05-26 16:49:56
370,156.96,2020-05-26 17:09:56
371,157.17,2020-05-26 17:29:56
372,156.84,2020-05-26 17:49:57
373,157.4,2020-05-26 18:09:57
374,156.88,2020-05-26 18:29:57
375,157.28,2020-05-26 18:49:57
376,157.13,2020-05-26 19:09:58
377,157.17,2020-05-26 19:29:58
378,158.41,2020-05-26 19:49:58
379,157.34,2020-05-26 20:09:58
380,157.42,2020-05-26 20:29:58
381,157.15,2020-05-26 20:49:59
382,157.29,2020-05-26 21:09:59
383,158.05,2020-05-26 21:29:59
384,155.71,2020-05-26 21:49:59
385,156.71,2020-05-26 22:10:00
386,159.43,2020-05-26 22:30:00
387,155.34,2020-05-26 22:50:00
388,154.58,2020-05-26 23:10:00
389,155.76,2020-05-26 23:30:01
390,158.42,2020-05-26 23:50:01
391,157.92,2020-05-27 00:10:01
392,157.88,2020-05-27 00:30:01
393,158.58,2020-05-27 00:50:01
394,157.97,2020-05-27 01:10:02
395,157.82,2020-05-27 01:30:02
396,157.85,2020-05-27 01:50:02
397,158.82,2020-05-27 02:10:03
398,157.5,2020-05-27 02:30:03
399,157.92,2020-05-27 02:50:03
400,157.81,2020-05-27 03:10:03
401,158.25,2020-05-27 03:30:03
402,158.08,2020-05-27 03:50:04
403,157.89,2020-05-27 04:10:04
404,157.79,2020-05-27 04:30:04
405,157.9,2020-05-27 04:50:04
406,157.89,2020-05-27 05:10:04
407,157.37,2020-05-27 05:30:05
408,158.08,2020-05-27 05:50:05
409,158.37,2020-05-27 06:10:05
410,157.54,2020-05-27 06:30:05
411,157.88,2020-05-27 06:50:06
412,157.63,2020-05-27 07:10:06
413,157.62,2020-05-27 07:30:06
414,157.66,2020-05-27 07:50:06
415,157.51,2020-05-27 08:10:07
416,157.68,2020-05-27 08:30:07
417,157.13,2020-05-27 08:50:07
418,157.32,2020-05-27 09:10:07
419,157.89,2020-05-27 09:30:08
420,157.46,2020-05-27 09:50:08
421,157.52,2020-05-27 10:10:08
422,157.59,2020-05-27 10:30:08
423,153.63,2020-05-27 10:50:09
424,157.69,2020-05-27 11:10:09
425,157.52,2020-05-27 11:30:09
426,156.44,2020-05-27 11:50:09
427,155.61,2020-05-27 12:10:09
428,156.53,2020-05-27 12:30:10
429,156.01,2020-05-27 12:50:10
430,156.22,2020-05-27 13:10:10
431,156.56,2020-05-27 13:30:10
432,156.86,2020-05-27 13:50:11
433,157.35,2020-05-27 14:10:11
434,156.41,2020-05-27 14:30:11
435,156.44,2020-05-27 14:50:11
436,157.43,2020-05-27 15:10:12
437,156.83,2020-05-27 15:30:12
438,158.1,2020-05-27 15:50:12
439,159.3,2020-05-27 16:10:12
440,160.23,2020-05-27 16:30:13
441,160.86,2020-05-27 16:50:13
442,160.65,2020-05-27 17:10:13
443,160.46,2020-05-27 17:30:13
444,160.9,2020-05-27 17:50:14
445,161.9,2020-05-27 18:10:14
446,161.37,2020-05-27 18:30:14
447,161.34,2020-05-27 18:50:14
448,161.53,2020-05-27 19:10:14
449,160.79,2020-05-27 19:30:15
450,160.52,2020-05-27 19:50:15
451,160.49,2020-05-27 20:10:15
452,160.3,2020-05-27 20:30:15
453,159.74,2020-05-27 20:50:16
454,159.73,2020-05-27 21:10:16
455,160.16,2020-05-27 21:30:16
456,160.39,2020-05-27 21:50:16
457,160.58,2020-05-27 22:10:16
458,160.38,2020-05-27 22:30:17
